fold,fill_na,Sim_Metric,Components,k_neighboors,mae_test,mse_test,elapsed_time
1,mean,cosine,31.0,4.0,1.1091768081583482,1.0531746332676022,1.0940508842468262
1,mean,cosine,31.0,8.0,1.0938084314549756,1.0458529683731723,1.359508991241455
1,mean,cosine,31.0,16.0,1.0970944364953277,1.0474227592024759,1.8095617294311523
1,mean,cosine,31.0,32.0,1.1273934293779142,1.0617878457478755,5.725082159042358
1,mean,cosine,31.0,63.0,1.1637060482999648,1.078752079163681,15.33798599243164
1,mean,cosine,31.0,126.0,1.2211505500028086,1.1050568084957482,44.12267708778381
1,mean,cosine,72.0,1.0,1.2660209676693717,1.1251759718681216,1.1781377792358398
1,mean,cosine,72.0,2.0,1.1256011457395638,1.0609435167526893,0.9803018569946289
1,mean,cosine,72.0,4.0,1.0647142568779189,1.0318499197450755,1.1059210300445557
1,mean,cosine,72.0,8.0,1.0644029522908347,1.0316990609140024,1.4016730785369873
1,mean,cosine,72.0,16.0,1.0747347680888188,1.036694153590546,1.9295320510864258
1,mean,cosine,72.0,32.0,1.110200128492289,1.053660347783995,5.86619234085083
1,mean,cosine,72.0,63.0,1.160056530877742,1.0770592049083199,13.146386861801147
1,mean,cosine,72.0,126.0,1.230381595751165,1.109225673950601,49.78845000267029
1,mean,cosine,169.0,1.0,1.2395600967203522,1.11335533264109,1.1996819972991943
1,mean,cosine,169.0,2.0,1.1151782021931689,1.056019981909987,1.10036301612854
1,mean,cosine,169.0,4.0,1.0637163082253969,1.0313662338012608,1.1667919158935547
1,mean,cosine,169.0,8.0,1.056862604494983,1.028038231047359,1.4563190937042236
1,mean,cosine,169.0,16.0,1.0710472445592412,1.034914124243766,1.9925940036773682
1,mean,cosine,169.0,32.0,1.1095886342291472,1.0533701316389918,6.24354887008667
1,mean,cosine,169.0,63.0,1.1655469499788906,1.0796049971998511,14.029573202133179
1,mean,cosine,169.0,126.0,1.243054586444618,1.1149235787463723,49.64249014854431
1,mean,cosine,398.0,1.0,1.2047435730292326,1.0976081145059162,1.3864109516143799
1,mean,cosine,398.0,2.0,1.1019349111988794,1.0497308756052093,1.1933860778808594
1,mean,cosine,398.0,4.0,1.0581571753443937,1.0286676700200088,1.2988932132720947
1,mean,cosine,398.0,8.0,1.066532183940565,1.0327304507665904,1.6776399612426758
1,mean,cosine,398.0,16.0,1.0830273410695206,1.0406859954229808,2.055189847946167
1,mean,cosine,398.0,32.0,1.1147881355129658,1.0558352785889311,7.6251890659332275
1,mean,cosine,398.0,63.0,1.163127015412653,1.0784836648798408,14.115509986877441
1,mean,cosine,398.0,126.0,1.2328899404468774,1.1103557720149329,68.7153890132904
